h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
1922. Count Good Numbers,https://leetcode.com/problems/count-good-numbers,,38.3%,Medium,,
1923. Longest Common Subpath,https://leetcode.com/problems/longest-common-subpath,,28.0%,,,Hard
1924. Erect the Fence II,https://leetcode.com/problems/erect-the-fence-ii,,58.3%,,,Hard
1925. Count Square Sum Triples,https://leetcode.com/problems/count-square-sum-triples,,67.1%,,Easy,
1926. Nearest Exit from Entrance in Maze,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,,38.3%,Medium,,
1927. Sum Game,https://leetcode.com/problems/sum-game,,46.8%,Medium,,
1928. Minimum Cost to Reach Destination in Time,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,,37.1%,,,Hard
1929. Concatenation of Array,https://leetcode.com/problems/concatenation-of-array,,91.7%,,Easy,
1930. Unique Length-3 Palindromic Subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences,,50.8%,Medium,,
1931. Painting a Grid With Three Different Colors,https://leetcode.com/problems/painting-a-grid-with-three-different-colors,,56.6%,,,Hard
1932. Merge BSTs to Create Single BST,https://leetcode.com/problems/merge-bsts-to-create-single-bst,,35.0%,,,Hard
1933. Check if String Is Decomposable Into Value-Equal Substrings,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings,,51.7%,,Easy,
1934. Confirmation Rate,https://leetcode.com/problems/confirmation-rate,,77.3%,Medium,,
1935. Maximum Number of Words You Can Type,https://leetcode.com/problems/maximum-number-of-words-you-can-type,,71.6%,,Easy,
1936. Add Minimum Number of Rungs,https://leetcode.com/problems/add-minimum-number-of-rungs,,42.2%,Medium,,
1937. Maximum Number of Points with Cost,https://leetcode.com/problems/maximum-number-of-points-with-cost,,34.9%,Medium,,
1938. Maximum Genetic Difference Query,https://leetcode.com/problems/maximum-genetic-difference-query,,39.3%,,,Hard
1939. Users That Actively Request Confirmation Messages,https://leetcode.com/problems/users-that-actively-request-confirmation-messages,,61.7%,,Easy,
1940. Longest Common Subsequence Between Sorted Arrays,https://leetcode.com/problems/longest-common-subsequence-between-sorted-arrays,,79.7%,Medium,,
1941. Check if All Characters Have Equal Number of Occurrences,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences,,77.1%,,Easy,
1942. The Number of the Smallest Unoccupied Chair,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair,,38.6%,Medium,,
1943. Describe the Painting,https://leetcode.com/problems/describe-the-painting,,46.1%,Medium,,
1944. Number of Visible People in a Queue,https://leetcode.com/problems/number-of-visible-people-in-a-queue,,69.8%,,,Hard
1945. Sum of Digits of String After Convert,https://leetcode.com/problems/sum-of-digits-of-string-after-convert,,61.5%,,Easy,
1946. Largest Number After Mutating Substring,https://leetcode.com/problems/largest-number-after-mutating-substring,,33.7%,Medium,,
1947. Maximum Compatibility Score Sum,https://leetcode.com/problems/maximum-compatibility-score-sum,,59.7%,Medium,,
1948. Delete Duplicate Folders in System,https://leetcode.com/problems/delete-duplicate-folders-in-system,,58.8%,,,Hard
1949. Strong Friendship,https://leetcode.com/problems/strong-friendship,,60.0%,Medium,,
1950. Maximum of Minimum Values in All Subarrays,https://leetcode.com/problems/maximum-of-minimum-values-in-all-subarrays,,51.8%,Medium,,
1951. All the Pairs With the Maximum Number of Common Followers,https://leetcode.com/problems/all-the-pairs-with-the-maximum-number-of-common-followers,,71.2%,Medium,,
1952. Three Divisors,https://leetcode.com/problems/three-divisors,,56.5%,,Easy,
1953. Maximum Number of Weeks for Which You Can Work,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,,37.1%,Medium,,
1954. Minimum Garden Perimeter to Collect Enough Apples,https://leetcode.com/problems/minimum-garden-perimeter-to-collect-enough-apples,,52.5%,Medium,,
1955. Count Number of Special Subsequences,https://leetcode.com/problems/count-number-of-special-subsequences,,50.8%,,,Hard
1956. Minimum Time For K Virus Variants to Spread,https://leetcode.com/problems/minimum-time-for-k-virus-variants-to-spread,,43.9%,,,Hard
1957. Delete Characters to Make Fancy String,https://leetcode.com/problems/delete-characters-to-make-fancy-string,,56.5%,,Easy,
1958. Check if Move is Legal,https://leetcode.com/problems/check-if-move-is-legal,,43.1%,Medium,,
1959. Minimum Total Space Wasted With K Resizing Operations,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,,41.7%,Medium,,
1960. Maximum Product of the Length of Two Palindromic Substrings,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-substrings,,28.8%,,,Hard
1961. Check If String Is a Prefix of Array,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array,,54.7%,,Easy,
1962. Remove Stones to Minimize the Total,https://leetcode.com/problems/remove-stones-to-minimize-the-total,,56.0%,Medium,,
1963. Minimum Number of Swaps to Make the String Balanced,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,,66.5%,Medium,,
1964. Find the Longest Valid Obstacle Course at Each Position,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,,45.2%,,,Hard
1965. Employees With Missing Information,https://leetcode.com/problems/employees-with-missing-information,,80.7%,,Easy,
1966. Binary Searchable Numbers in an Unsorted Array,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array,,66.3%,Medium,,
1967. Number of Strings That Appear as Substrings in Word,https://leetcode.com/problems/number-of-strings-that-appear-as-substrings-in-word,,79.4%,,Easy,
1968. Array With Elements Not Equal to Average of Neighbors,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors,,48.2%,Medium,,
1969. Minimum Non-Zero Product of the Array Elements,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,,32.2%,Medium,,
1970. Last Day Where You Can Still Cross,https://leetcode.com/problems/last-day-where-you-can-still-cross,,48.4%,,,Hard
1971. Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph,,50.4%,,Easy,
1972. First and Last Call On the Same Day,https://leetcode.com/problems/first-and-last-call-on-the-same-day,,51.7%,,,Hard
1973. Count Nodes Equal to Sum of Descendants,https://leetcode.com/problems/count-nodes-equal-to-sum-of-descendants,,74.9%,Medium,,
1974. Minimum Time to Type Word Using Special Typewriter,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter,,71.9%,,Easy,
1975. Maximum Matrix Sum,https://leetcode.com/problems/maximum-matrix-sum,,44.3%,Medium,,
1976. Number of Ways to Arrive at Destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination,,32.5%,Medium,,
1977. Number of Ways to Separate Numbers,https://leetcode.com/problems/number-of-ways-to-separate-numbers,,22.7%,,,Hard
1978. Employees Whose Manager Left the Company,https://leetcode.com/problems/employees-whose-manager-left-the-company,,49.7%,,Easy,
1979. Find Greatest Common Divisor of Array,https://leetcode.com/problems/find-greatest-common-divisor-of-array,,78.2%,,Easy,
1980. Find Unique Binary String,https://leetcode.com/problems/find-unique-binary-string,,62.9%,Medium,,
1981. Minimize the Difference Between Target and Chosen Elements,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,,32.8%,Medium,,
1982. Find Array Given Subset Sums,https://leetcode.com/problems/find-array-given-subset-sums,,48.4%,,,Hard
1983. Widest Pair of Indices With Equal Range Sum,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum,,54.0%,Medium,,
1984. Minimum Difference Between Highest and Lowest of K Scores,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,,54.1%,,Easy,
1985. Find the Kth Largest Integer in the Array,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array,,44.7%,Medium,,
1986. Minimum Number of Work Sessions to Finish the Tasks,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,,31.6%,Medium,,
1987. Number of Unique Good Subsequences,https://leetcode.com/problems/number-of-unique-good-subsequences,,51.9%,,,Hard
1988. Find Cutoff Score for Each School,https://leetcode.com/problems/find-cutoff-score-for-each-school,,69.1%,Medium,,
1989. Maximum Number of People That Can Be Caught in Tag,https://leetcode.com/problems/maximum-number-of-people-that-can-be-caught-in-tag,,55.5%,Medium,,
1990. Count the Number of Experiments,https://leetcode.com/problems/count-the-number-of-experiments,,50.6%,Medium,,
1991. Find the Middle Index in Array,https://leetcode.com/problems/find-the-middle-index-in-array,,66.3%,,Easy,
1992. Find All Groups of Farmland,https://leetcode.com/problems/find-all-groups-of-farmland,,66.9%,Medium,,
1993. Operations on Tree,https://leetcode.com/problems/operations-on-tree,,41.8%,Medium,,
1994. The Number of Good Subsets,https://leetcode.com/problems/the-number-of-good-subsets,,34.0%,,,Hard
1995. Count Special Quadruplets,https://leetcode.com/problems/count-special-quadruplets,,57.7%,,Easy,
1996. The Number of Weak Characters in the Game,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,,32.4%,Medium,,
1997. First Day Where You Have Been in All the Rooms,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,,35.2%,Medium,,
1998. GCD Sort of an Array,https://leetcode.com/problems/gcd-sort-of-an-array,,45.7%,,,Hard
1999. Smallest Greater Multiple Made of Two Digits,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,,52.2%,Medium,,
2000. Reverse Prefix of Word,https://leetcode.com/problems/reverse-prefix-of-word,,78.0%,,Easy,
2001. Number of Pairs of Interchangeable Rectangles,https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles,,42.5%,Medium,,
2002. Maximum Product of the Length of Two Palindromic Subsequences,https://leetcode.com/problems/maximum-product-of-the-length-of-two-palindromic-subsequences,,52.7%,Medium,,
2003. Smallest Missing Genetic Value in Each Subtree,https://leetcode.com/problems/smallest-missing-genetic-value-in-each-subtree,,42.1%,,,Hard
2004. The Number of Seniors and Juniors to Join the Company,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company,,37.9%,,,Hard
2005. Subtree Removal Game with Fibonacci Tree,https://leetcode.com/problems/subtree-removal-game-with-fibonacci-tree,,63.6%,,,Hard
2006. Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,,83.1%,,Easy,
2007. Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array,,37.4%,Medium,,
2008. Maximum Earnings From Taxi,https://leetcode.com/problems/maximum-earnings-from-taxi,,42.6%,Medium,,
2009. Minimum Number of Operations to Make Array Continuous,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous,,45.6%,,,Hard
2010. The Number of Seniors and Juniors to Join the Company II,https://leetcode.com/problems/the-number-of-seniors-and-juniors-to-join-the-company-ii,,56.5%,,,Hard
2011. Final Value of Variable After Performing Operations,https://leetcode.com/problems/final-value-of-variable-after-performing-operations,,89.2%,,Easy,
2012. Sum of Beauty in the Array,https://leetcode.com/problems/sum-of-beauty-in-the-array,,45.5%,Medium,,
2013. Detect Squares,https://leetcode.com/problems/detect-squares,,44.5%,Medium,,
2014. Longest Subsequence Repeated k Times,https://leetcode.com/problems/longest-subsequence-repeated-k-times,,54.6%,,,Hard
2015. Average Height of Buildings in Each Segment,https://leetcode.com/problems/average-height-of-buildings-in-each-segment,,59.8%,Medium,,
2016. Maximum Difference Between Increasing Elements,https://leetcode.com/problems/maximum-difference-between-increasing-elements,,54.9%,,Easy,
2017. Grid Game,https://leetcode.com/problems/grid-game,,41.4%,Medium,,
2018. Check if Word Can Be Placed In Crossword,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword,,47.7%,Medium,,
2019. The Score of Students Solving Math Expression,https://leetcode.com/problems/the-score-of-students-solving-math-expression,,33.4%,,,Hard
2020. Number of Accounts That Did Not Stream,https://leetcode.com/problems/number-of-accounts-that-did-not-stream,,72.4%,Medium,,
2021. Brightest Position on Street,https://leetcode.com/problems/brightest-position-on-street,,63.2%,Medium,,
2022. Convert 1D Array Into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array,,59.9%,,Easy,
2023. Number of Pairs of Strings With Concatenation Equal to Target,https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target,,73.2%,Medium,,
2024. Maximize the Confusion of an Exam,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,,56.4%,Medium,,
2025. Maximum Number of Ways to Partition an Array,https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array,,30.7%,,,Hard
2026. Low-Quality Problems,https://leetcode.com/problems/low-quality-problems,,85.7%,,Easy,
2027. Minimum Moves to Convert String,https://leetcode.com/problems/minimum-moves-to-convert-string,,53.2%,,Easy,
2028. Find Missing Observations,https://leetcode.com/problems/find-missing-observations,,41.6%,Medium,,
2029. Stone Game IX,https://leetcode.com/problems/stone-game-ix,,24.5%,Medium,,
2030. Smallest K-Length Subsequence With Occurrences of a Letter,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter,,39.0%,,,Hard
2031. Count Subarrays With More Ones Than Zeros,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros,,52.9%,Medium,,
2032. Two Out of Three,https://leetcode.com/problems/two-out-of-three,,72.8%,,Easy,
2033. Minimum Operations to Make a Uni-Value Grid,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid,,49.6%,Medium,,
2034. Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation,,46.3%,Medium,,
2035. Partition Array Into Two Arrays to Minimize Sum Difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,,22.9%,,,Hard
2036. Maximum Alternating Subarray Sum,https://leetcode.com/problems/maximum-alternating-subarray-sum,,41.2%,Medium,,
2037. Minimum Number of Moves to Seat Everyone,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone,,82.8%,,Easy,
2038. Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,,55.2%,Medium,,
2039. The Time When the Network Becomes Idle,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,,48.7%,Medium,,
2040. Kth Smallest Product of Two Sorted Arrays,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays,,26.6%,,,Hard
2041. Accepted Candidates From the Interviews,https://leetcode.com/problems/accepted-candidates-from-the-interviews,,76.5%,Medium,,
2042. Check if Numbers Are Ascending in a Sentence,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence,,68.5%,,Easy,
